id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0073,-0.570000,36.360000,Prunus africana,Muiri,African cherry,"GBIF occurrence 3346687026, dataset d8cd16ba-bb74-4420-821e-083f2bac17c2",mt_kipipiri,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0074,1.030000,35.220000,Prunus africana,Muiri,African cherry,"GBIF occurrence 3346689017, dataset d8cd16ba-bb74-4420-821e-083f2bac17c2",cherangani_hills,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0075,0.140000,34.520000,Prunus africana,Muiri,African cherry,"GBIF occurrence 3346727252, dataset d8cd16ba-bb74-4420-821e-083f2bac17c2",mt_elgon,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0076,-0.570000,36.360000,Prunus africana,Muiri,African cherry,"GBIF occurrence 3346734134, dataset d8cd16ba-bb74-4420-821e-083f2bac17c2",mt_kipipiri,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0077,-1.283785,36.816469,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242765092, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0078,-1.236040,36.842153,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242773317, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0079,-1.235972,36.842135,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242773326, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0080,-1.236697,36.841710,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242782593, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0081,-1.325577,36.702282,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242792495, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0082,-0.451390,37.093330,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2397827832, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,Flora of Tropical East Africa; KFS species atlas
